stemmested,year,avg education
Rudersdal,2019,14.698271640501224
Rudersdal,2022,14.855081014188276
Rødovre,2007,12.81565540568756
Rødovre,2011,12.922599608099281
Rødovre,2015,13.170843776106935
Rødovre,2019,13.45370576452259
Rødovre,2022,13.655562281888754
Samsø,2007,12.661464354527938
Samsø,2011,12.796437149719775
Samsø,2015,12.965037910699241
Samsø,2019,13.215730337078652
Samsø,2022,13.379797088663432
Silkeborg,2007,12.922821660214188
Silkeborg,2011,13.020302226323683
Silkeborg,2015,13.186395181353936
Silkeborg,2019,13.40799685706039
Silkeborg,2022,13.606774095005346
Skanderborg,2007,13.195455858031659
Skanderborg,2011,13.299989778447857
Skanderborg,2015,13.467318527501957
Skanderborg,2019,13.731942017571924
Skanderborg,2022,13.933596476449493
Skive,2007,12.501556729037576
Skive,2011,12.583596068249259
Skive,2015,12.721497800165785
Skive,2019,12.863402484187068
Skive,2022,12.957485110535348
Slagelse,2007,12.523750869736917
Slagelse,2011,12.58522034407069
Slagelse,2015,12.719849482596425
Slagelse,2019,12.868019682515742
Slagelse,2022,12.997107283280284
Solrød,2007,13.033398683657751
Solrød,2011,13.08895493502903
Solrød,2015,13.23940954342602
Solrød,2019,13.454869913275518
Solrød,2022,13.638517936632626
Sorø,2007,12.783482817696262
Sorø,2011,12.830478425888932
Sorø,2015,12.97559074912016
Sorø,2019,13.107587597680867
Sorø,2022,13.26746686671668
Stevns,2007,12.633009514937786
Stevns,2011,12.699050865583851
Stevns,2015,12.820032083416883
Stevns,2019,12.98754519887505
Stevns,2022,13.102552415679124
Struer,2007,12.497489730716568
Struer,2011,12.541154462854088
Struer,2015,12.666247555183013
Struer,2019,12.77696739843921
Struer,2022,12.898918717375093
Svendborg,2007,12.901879016827749
Svendborg,2011,12.979356655205063
Svendborg,2015,13.088023876047751
Svendborg,2019,13.26630998030884
Svendborg,2022,13.426125219366162
Syddjurs,2007,12.819099546534225
Syddjurs,2011,12.900234783536694
Syddjurs,2015,13.048815506101938
Syddjurs,2019,13.27411790172451
Syddjurs,2022,13.45520840780725
Sønderborg,2007,12.74822381849584
Sønderborg,2011,12.827736343079303
Sønderborg,2015,12.963562381447714
Sønderborg,2019,13.136056971514243
Sønderborg,2022,13.253671171641635
Thisted,2007,12.371393762183235
Thisted,2011,12.459402339526196
Thisted,2015,12.607947064582559
Thisted,2019,12.77078730492723
Thisted,2022,12.886054361343046
Tårnby,2007,12.575129056047198
Tårnby,2011,12.705123142098083
Tårnby,2015,12.961539795989175
Tårnby,2019,13.182553671519724
Tårnby,2022,13.324369658874215
Tønder,2007,12.335830304828303
Tønder,2011,12.428333333333333
Tønder,2015,12.575485799701047
Tønder,2019,12.741163986613337
Tønder,2022,12.825121399866042
Vallensbæk,2007,13.06391550522648
Vallensbæk,2011,13.133204829055494
Vallensbæk,2015,13.324680511182109
Vallensbæk,2019,13.610376011423131
Vallensbæk,2022,13.774784991966733
Varde,2007,12.482243324502129
Varde,2011,12.571434949549067
Varde,2015,12.719782660191875
Varde,2019,12.892978723404255
Varde,2022,13.024217791411044
Vejen,2007,12.385262935437286
Vejen,2011,12.480904611052447
Vejen,2015,12.651129745281033
Vejen,2019,12.787861639668954
Vejen,2022,12.91169973992661
Vejle,2007,12.842832143357134
Vejle,2011,12.93228525298963
Vejle,2015,13.11157255438755
Vejle,2019,13.331435669185385
Vejle,2022,13.499981352097267
Vesthimmerlands,2007,12.334219061388769
Vesthimmerlands,2011,12.423183473167644
Vesthimmerlands,2015,12.57862353695687
Vesthimmerlands,2019,12.706364992541024
Vesthimmerlands,2022,12.808395166419334
Viborg,2007,12.815822945815315
Viborg,2011,12.89802610933283
Viborg,2015,13.047490012697036
Viborg,2019,13.204950525712693
Viborg,2022,13.293767398700897
Vordingborg,2007,12.605374128091313
Vordingborg,2011,12.665011729168675
Vordingborg,2015,12.760307340199445
Vordingborg,2019,12.897143530838415
Vordingborg,2022,13.065311699402221
Ærø,2007,12.716579366886814
Ærø,2011,12.77728003675626
Ærø,2015,12.949588220613926
Ærø,2019,13.157491098329224
Ærø,2022,13.350013861935127
