parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,Haderslev,2015,35467
GYLDIGE STEMMER I ALT,Haderslev,2019,34171
GYLDIGE STEMMER I ALT,Haderslev,2022,33045
GYLDIGE STEMMER I ALT,Kolding,2007,54978
GYLDIGE STEMMER I ALT,Kolding,2011,56449
GYLDIGE STEMMER I ALT,Kolding,2015,55554
GYLDIGE STEMMER I ALT,Kolding,2019,55980
GYLDIGE STEMMER I ALT,Kolding,2022,55655
GYLDIGE STEMMER I ALT,Sønderborg,2007,48172
GYLDIGE STEMMER I ALT,Sønderborg,2011,47509
GYLDIGE STEMMER I ALT,Sønderborg,2015,46396
GYLDIGE STEMMER I ALT,Sønderborg,2019,44878
GYLDIGE STEMMER I ALT,Sønderborg,2022,43376
GYLDIGE STEMMER I ALT,Tønder,2007,24706
GYLDIGE STEMMER I ALT,Tønder,2011,24506
GYLDIGE STEMMER I ALT,Tønder,2015,23660
GYLDIGE STEMMER I ALT,Tønder,2019,22105
GYLDIGE STEMMER I ALT,Tønder,2022,21372
GYLDIGE STEMMER I ALT,Varde,2007,31422
GYLDIGE STEMMER I ALT,Varde,2011,31771
GYLDIGE STEMMER I ALT,Varde,2015,31545
GYLDIGE STEMMER I ALT,Varde,2019,30444
GYLDIGE STEMMER I ALT,Varde,2022,30065
GYLDIGE STEMMER I ALT,Vejen,2007,26119
GYLDIGE STEMMER I ALT,Vejen,2011,26803
GYLDIGE STEMMER I ALT,Vejen,2015,26478
GYLDIGE STEMMER I ALT,Vejen,2019,25448
GYLDIGE STEMMER I ALT,Vejen,2022,25145
GYLDIGE STEMMER I ALT,Vejle,2007,65594
GYLDIGE STEMMER I ALT,Vejle,2011,67996
GYLDIGE STEMMER I ALT,Vejle,2015,68233
GYLDIGE STEMMER I ALT,Vejle,2019,69159
GYLDIGE STEMMER I ALT,Vejle,2022,70546
GYLDIGE STEMMER I ALT,Aabenraa,2007,36670
GYLDIGE STEMMER I ALT,Aabenraa,2011,36540
GYLDIGE STEMMER I ALT,Aabenraa,2015,35824
GYLDIGE STEMMER I ALT,Aabenraa,2019,34337
GYLDIGE STEMMER I ALT,Aabenraa,2022,33608
GYLDIGE STEMMER I ALT,Favrskov,2007,28466
GYLDIGE STEMMER I ALT,Favrskov,2011,29957
GYLDIGE STEMMER I ALT,Favrskov,2015,29863
GYLDIGE STEMMER I ALT,Favrskov,2019,29872
GYLDIGE STEMMER I ALT,Favrskov,2022,30284
GYLDIGE STEMMER I ALT,Hedensted,2007,28775
GYLDIGE STEMMER I ALT,Hedensted,2011,29562
GYLDIGE STEMMER I ALT,Hedensted,2015,29483
GYLDIGE STEMMER I ALT,Hedensted,2019,28999
GYLDIGE STEMMER I ALT,Hedensted,2022,29285
GYLDIGE STEMMER I ALT,Horsens,2007,49907
GYLDIGE STEMMER I ALT,Horsens,2011,51880
GYLDIGE STEMMER I ALT,Horsens,2015,52189
GYLDIGE STEMMER I ALT,Horsens,2019,52515
GYLDIGE STEMMER I ALT,Horsens,2022,54257
GYLDIGE STEMMER I ALT,Norddjurs,2007,24090
GYLDIGE STEMMER I ALT,Norddjurs,2011,24347
GYLDIGE STEMMER I ALT,Norddjurs,2015,24195
GYLDIGE STEMMER I ALT,Norddjurs,2019,22923
GYLDIGE STEMMER I ALT,Norddjurs,2022,22710
GYLDIGE STEMMER I ALT,Odder,2007,14012
GYLDIGE STEMMER I ALT,Odder,2011,14372
GYLDIGE STEMMER I ALT,Odder,2015,14357
GYLDIGE STEMMER I ALT,Odder,2019,14665
GYLDIGE STEMMER I ALT,Odder,2022,15107
GYLDIGE STEMMER I ALT,Randers,2007,59570
GYLDIGE STEMMER I ALT,Randers,2011,61496
GYLDIGE STEMMER I ALT,Randers,2015,60554
GYLDIGE STEMMER I ALT,Randers,2019,59621
GYLDIGE STEMMER I ALT,Randers,2022,60047
GYLDIGE STEMMER I ALT,Samsø,2007,2703
GYLDIGE STEMMER I ALT,Samsø,2011,2652
GYLDIGE STEMMER I ALT,Samsø,2015,2470
GYLDIGE STEMMER I ALT,Samsø,2019,2441
GYLDIGE STEMMER I ALT,Samsø,2022,2516
GYLDIGE STEMMER I ALT,Silkeborg,2007,55913
GYLDIGE STEMMER I ALT,Silkeborg,2011,57539
GYLDIGE STEMMER I ALT,Silkeborg,2015,57274
GYLDIGE STEMMER I ALT,Silkeborg,2019,58785
GYLDIGE STEMMER I ALT,Silkeborg,2022,61833
GYLDIGE STEMMER I ALT,Skanderborg,2007,35549
GYLDIGE STEMMER I ALT,Skanderborg,2011,37038
GYLDIGE STEMMER I ALT,Skanderborg,2015,37529
GYLDIGE STEMMER I ALT,Skanderborg,2019,39183
GYLDIGE STEMMER I ALT,Skanderborg,2022,40498
GYLDIGE STEMMER I ALT,Syddjurs,2007,26354
GYLDIGE STEMMER I ALT,Syddjurs,2011,27269
GYLDIGE STEMMER I ALT,Syddjurs,2015,26979
GYLDIGE STEMMER I ALT,Syddjurs,2019,27166
GYLDIGE STEMMER I ALT,Syddjurs,2022,28034
GYLDIGE STEMMER I ALT,Aarhus,2007,192973
GYLDIGE STEMMER I ALT,Aarhus,2011,203902
GYLDIGE STEMMER I ALT,Aarhus,2015,206686
GYLDIGE STEMMER I ALT,Aarhus,2019,218677
GYLDIGE STEMMER I ALT,Aarhus,2022,223627
GYLDIGE STEMMER I ALT,Herning,2007,53573
GYLDIGE STEMMER I ALT,Herning,2011,54806
GYLDIGE STEMMER I ALT,Herning,2015,54748
GYLDIGE STEMMER I ALT,Herning,2019,54860
GYLDIGE STEMMER I ALT,Herning,2022,54286
GYLDIGE STEMMER I ALT,Holstebro,2007,36542
GYLDIGE STEMMER I ALT,Holstebro,2011,37050
GYLDIGE STEMMER I ALT,Holstebro,2015,36727
GYLDIGE STEMMER I ALT,Holstebro,2019,36704
GYLDIGE STEMMER I ALT,Holstebro,2022,36384
GYLDIGE STEMMER I ALT,Ikast-Brande,2007,24776
GYLDIGE STEMMER I ALT,Ikast-Brande,2011,25297
GYLDIGE STEMMER I ALT,Ikast-Brande,2015,25002
GYLDIGE STEMMER I ALT,Ikast-Brande,2019,24436
GYLDIGE STEMMER I ALT,Ikast-Brande,2022,24304
GYLDIGE STEMMER I ALT,Lemvig,2007,14181
GYLDIGE STEMMER I ALT,Lemvig,2011,14003
GYLDIGE STEMMER I ALT,Lemvig,2015,13518
GYLDIGE STEMMER I ALT,Lemvig,2019,12818
GYLDIGE STEMMER I ALT,Lemvig,2022,12563
GYLDIGE STEMMER I ALT,Ringkøbing-Skjern,2007,36395
GYLDIGE STEMMER I ALT,Ringkøbing-Skjern,2011,36706
GYLDIGE STEMMER I ALT,Ringkøbing-Skjern,2015,35568
GYLDIGE STEMMER I ALT,Ringkøbing-Skjern,2019,34342
GYLDIGE STEMMER I ALT,Ringkøbing-Skjern,2022,34033
GYLDIGE STEMMER I ALT,Skive,2007,30911
