parti,stemmested,year,stemmer
A. Socialdemokratiet,Holstebro,2022,26.77000879507476
A. Socialdemokratiet,Ikast-Brande,2007,19.950758798837583
A. Socialdemokratiet,Ikast-Brande,2011,21.5954461003281
A. Socialdemokratiet,Ikast-Brande,2015,21.610271178305737
A. Socialdemokratiet,Ikast-Brande,2019,22.21312817155017
A. Socialdemokratiet,Ikast-Brande,2022,23.6463133640553
A. Socialdemokratiet,Lemvig,2007,19.286369085395954
A. Socialdemokratiet,Lemvig,2011,20.23137899021638
A. Socialdemokratiet,Lemvig,2015,23.472407160822605
A. Socialdemokratiet,Lemvig,2019,23.232953658917147
A. Socialdemokratiet,Lemvig,2022,24.38111915943644
A. Socialdemokratiet,Ringkøbing-Skjern,2007,17.183679076796263
A. Socialdemokratiet,Ringkøbing-Skjern,2011,17.4521876532447
A. Socialdemokratiet,Ringkøbing-Skjern,2015,19.202654071075123
A. Socialdemokratiet,Ringkøbing-Skjern,2019,19.416457981480402
A. Socialdemokratiet,Ringkøbing-Skjern,2022,20.847412805218465
A. Socialdemokratiet,Skive,2007,28.21325741645369
A. Socialdemokratiet,Skive,2011,29.09137593478191
A. Socialdemokratiet,Skive,2015,30.45327661837033
A. Socialdemokratiet,Skive,2019,30.1750212404418
A. Socialdemokratiet,Skive,2022,31.096149800126238
A. Socialdemokratiet,Struer,2007,25.40236970070543
A. Socialdemokratiet,Struer,2011,28.352464086878822
A. Socialdemokratiet,Struer,2015,28.602274363034404
A. Socialdemokratiet,Struer,2019,30.149253731343283
A. Socialdemokratiet,Struer,2022,30.41439806412583
A. Socialdemokratiet,Viborg,2007,25.002139275384643
A. Socialdemokratiet,Viborg,2011,24.004140371965676
A. Socialdemokratiet,Viborg,2015,24.85243812462271
A. Socialdemokratiet,Viborg,2019,25.293740293065028
A. Socialdemokratiet,Viborg,2022,26.079557899347968
A. Socialdemokratiet,Brønderslev,2007,29.850155995957287
A. Socialdemokratiet,Brønderslev,2011,30.888296500128988
A. Socialdemokratiet,Brønderslev,2015,29.6040698960407
A. Socialdemokratiet,Brønderslev,2019,35.36459963338847
A. Socialdemokratiet,Brønderslev,2022,36.08042421564295
A. Socialdemokratiet,Frederikshavn,2007,31.981442681831787
A. Socialdemokratiet,Frederikshavn,2011,33.888572630745244
A. Socialdemokratiet,Frederikshavn,2015,31.99958909034876
A. Socialdemokratiet,Frederikshavn,2019,38.27561230785739
A. Socialdemokratiet,Frederikshavn,2022,39.465176174036934
A. Socialdemokratiet,Hjørring,2007,27.424195873608582
A. Socialdemokratiet,Hjørring,2011,27.995992917715032
A. Socialdemokratiet,Hjørring,2015,27.74452537198625
A. Socialdemokratiet,Hjørring,2019,32.713745396635815
A. Socialdemokratiet,Hjørring,2022,35.18671575625517
A. Socialdemokratiet,Jammerbugt,2007,29.692998422521537
A. Socialdemokratiet,Jammerbugt,2011,32.05046565310833
A. Socialdemokratiet,Jammerbugt,2015,30.98802395209581
A. Socialdemokratiet,Jammerbugt,2019,34.98144828448743
A. Socialdemokratiet,Jammerbugt,2022,35.53708808162258
A. Socialdemokratiet,Læsø,2007,26.942628903413215
A. Socialdemokratiet,Læsø,2011,28.029739776951672
A. Socialdemokratiet,Læsø,2015,28.06736166800321
A. Socialdemokratiet,Læsø,2019,28.91072891072891
A. Socialdemokratiet,Læsø,2022,26.178861788617887
A. Socialdemokratiet,Mariagerfjord,2007,27.835473664619393
A. Socialdemokratiet,Mariagerfjord,2011,30.46698514979817
A. Socialdemokratiet,Mariagerfjord,2015,29.37367464404726
A. Socialdemokratiet,Mariagerfjord,2019,33.94180302562519
A. Socialdemokratiet,Mariagerfjord,2022,33.00428527701255
A. Socialdemokratiet,Morsø,2007,29.277032248998804
A. Socialdemokratiet,Morsø,2011,34.263511126810315
A. Socialdemokratiet,Morsø,2015,34.47488584474886
A. Socialdemokratiet,Morsø,2019,37.93209402365955
A. Socialdemokratiet,Morsø,2022,36.544824326453444
A. Socialdemokratiet,Rebild,2007,26.21305690339656
A. Socialdemokratiet,Rebild,2011,27.74897386044502
A. Socialdemokratiet,Rebild,2015,27.97944279145253
